Date,Open,High,Low,Close,Volume
04/04/2025,"314.57","314.96","299.30","300.11","8,831,090"
04/03/2025,"311.38","319.72","311.30","318.27","7,023,851"
04/02/2025,"312.71","313.93","309.83","311.58","2,776,755"
04/01/2025,"313.08","314.78","310.95","313.63","2,411,454"
03/31/2025,"305.00","313.20","304.44","312.37","4,418,823"
03/28/2025,"309.00","310.00","305.99","307.09","3,211,862"
03/27/2025,"315.16","316.64","310.68","312.69","3,119,455"
03/26/2025,"307.90","314.06","307.79","313.58","2,624,998"
03/25/2025,"306.93","308.66","304.03","306.92","2,657,170"
03/24/2025,"306.30","307.95","304.53","305.67","3,443,511"
03/21/2025,"306.39","307.00","301.64","305.44","6,016,138"
03/20/2025,"308.03","309.66","305.51","307.00","2,723,487"
03/19/2025,"303.99","308.08","303.63","306.92","2,812,212"
03/18/2025,"304.97","304.97","302.27","303.60","2,435,418"
03/17/2025,"301.30","305.23","300.03","303.97","2,758,628"
03/14/2025,"296.97","300.67","295.71","299.83","2,696,979"
03/13/2025,"300.43","303.47","297.27","297.50","4,178,882"
03/12/2025,"303.69","306.43","296.35","299.40","4,546,240"
03/11/2025,"317.62","317.70","306.31","306.76","4,513,135"
03/10/2025,"320.09","326.32","315.74","317.25","4,707,592"
03/07/2025,"310.82","323.17","310.35","321.29","7,607,616"
03/06/2025,"307.80","311.35","304.38","310.37","2,954,920"
03/05/2025,"304.00","308.46","303.37","307.45","2,327,472"
03/04/2025,"304.59","312.93","304.59","305.77","3,954,691"
03/03/2025,"308.11","309.49","302.43","304.29","4,371,634"
02/28/2025,"307.61","308.52","303.88","308.33","4,972,872"
02/27/2025,"305.19","311.78","304.22","309.95","3,350,723"
02/26/2025,"311.70","314.55","303.68","304.27","4,140,908"
02/25/2025,"309.18","311.71","307.99","310.72","3,891,555"
02/24/2025,"305.00","310.44","304.12","307.57","3,397,553"
02/21/2025,"303.92","305.96","301.59","304.81","3,036,654"
02/20/2025,"300.83","303.13","298.15","303.05","3,020,024"
02/19/2025,"303.32","303.79","299.51","301.94","2,990,851"
02/18/2025,"307.35","307.35","303.54","304.83","3,368,090"
02/14/2025,"310.20","311.00","307.78","308.55","2,674,354"
02/13/2025,"307.50","311.53","305.63","310.02","3,097,175"
02/12/2025,"309.58","310.09","305.77","307.60","3,110,228"
02/11/2025,"307.37","311.59","306.17","310.21","4,180,762"
02/10/2025,"302.27","310.28","301.51","308.42","8,051,997"
02/07/2025,"294.36","296.85","293.82","294.30","2,858,016"
02/06/2025,"291.59","297.15","290.32","294.36","3,589,988"
02/05/2025,"290.00","290.27","286.34","288.83","2,363,168"
02/04/2025,"289.76","290.64","288.37","289.77","2,977,102"
02/03/2025,"287.02","290.90","284.19","290.05","3,049,143"
01/31/2025,"289.83","291.25","287.35","288.70","2,557,033"
01/30/2025,"290.91","292.08","289.36","290.32","2,125,150"
01/29/2025,"291.38","293.14","290.00","290.11","2,358,272"
01/28/2025,"292.40","294.49","290.00","291.15","3,180,370"
01/27/2025,"286.61","293.43","285.81","293.09","4,343,019"
01/24/2025,"284.51","286.85","283.28","285.46","2,523,397"
01/23/2025,"280.75","285.00","280.65","284.43","2,279,408"
01/22/2025,"283.30","283.53","280.41","281.35","3,660,600"
01/21/2025,"280.76","282.90","278.73","282.61","3,858,590"
01/17/2025,"280.98","284.08","280.00","280.95","3,312,793"
01/16/2025,"280.24","280.95","276.53","279.74","3,403,681"
01/15/2025,"284.33","284.65","280.61","282.30","2,867,781"
01/14/2025,"285.02","285.35","279.38","281.58","2,238,889"
01/13/2025,"282.94","284.50","280.35","283.63","3,394,291"
01/10/2025,"287.50","287.77","281.78","282.31","3,946,002"
01/08/2025,"288.97","289.14","286.55","286.90","2,724,217"
01/07/2025,"293.78","294.93","288.28","289.34","3,419,450"
01/06/2025,"293.28","295.60","291.74","292.18","2,838,933"
01/03/2025,"292.83","294.96","290.70","294.78","2,240,254"
01/02/2025,"290.95","295.76","290.25","292.51","3,118,262"
12/31/2024,"290.08","291.24","288.58","289.89","1,915,847"
12/30/2024,"291.47","291.47","289.00","289.60","1,936,678"
12/27/2024,"293.34","296.48","292.74","293.62","1,617,399"
12/26/2024,"293.00","295.44","292.60","294.80","1,434,337"
12/24/2024,"291.28","294.27","290.79","293.99","1,460,985"
12/23/2024,"292.26","293.10","289.73","291.29","2,492,226"
12/20/2024,"289.52","296.10","289.30","292.68","7,677,952"
12/19/2024,"290.88","292.86","288.85","290.23","3,438,533"
12/18/2024,"295.02","298.98","290.67","290.88","3,800,945"
12/17/2024,"297.62","300.00","294.82","296.08","3,295,881"
12/16/2024,"297.18","302.12","297.17","297.71","3,180,071"
12/13/2024,"296.29","299.20","295.43","296.60","2,547,703"
12/12/2024,"296.20","298.55","295.09","296.63","2,040,653"
12/11/2024,"301.34","301.90","295.97","296.10","3,037,616"
12/10/2024,"300.13","302.82","295.84","300.71","3,522,974"
12/09/2024,"297.59","302.62","297.09","301.37","2,391,898"
12/06/2024,"300.56","303.80","298.61","298.98","4,158,690"
12/05/2024,"295.54","299.74","294.93","299.47","2,594,816"
12/04/2024,"292.28","296.04","291.82","295.09","3,742,938"
12/03/2024,"292.32","294.85","290.29","294.50","3,030,992"
12/02/2024,"293.50","294.23","290.94","292.44","3,150,151"
11/29/2024,"294.16","297.05","294.02","296.01","1,655,907"
11/27/2024,"297.00","299.50","294.98","295.08","2,240,280"
11/26/2024,"297.00","297.28","294.83","296.33","2,254,326"
11/25/2024,"291.77","296.61","291.77","296.19","5,021,843"
11/22/2024,"288.47","290.60","288.14","290.28","2,879,063"
11/21/2024,"285.00","288.60","283.46","288.47","4,475,662"
11/20/2024,"290.62","291.32","288.26","290.91","2,525,012"
11/19/2024,"290.00","292.07","287.60","290.73","2,353,251"
11/18/2024,"293.01","295.44","290.79","291.10","2,866,132"
11/15/2024,"297.72","299.50","289.72","292.63","4,039,432"
11/14/2024,"298.00","300.11","296.59","298.56","1,932,557"
11/13/2024,"298.90","299.13","295.22","297.35","2,327,101"
11/12/2024,"300.14","301.41","297.52","298.65","2,453,194"
11/11/2024,"300.49","303.81","300.02","301.53","2,872,440"
11/08/2024,"295.60","301.83","295.25","298.97","3,279,284"
11/07/2024,"294.84","296.54","293.81","294.66","3,357,377"
11/06/2024,"300.28","300.33","292.72","294.00","4,646,422"
11/05/2024,"293.75","297.38","292.56","297.32","3,032,122"
11/04/2024,"294.74","294.96","291.80","292.85","2,583,053"
11/01/2024,"294.51","296.88","293.28","295.21","4,131,804"
10/31/2024,"292.25","294.38","291.17","292.11","4,277,428"
10/30/2024,"294.50","295.37","289.84","291.52","4,924,013"
10/29/2024,"297.60","302.70","295.00","295.00","9,048,877"
10/28/2024,"299.20","299.92","296.54","296.79","6,655,971"
10/25/2024,"301.00","301.60","292.20","292.61","8,863,234"
10/24/2024,"299.12","302.39","298.28","301.58","5,522,591"
10/23/2024,"292.77","301.60","290.83","298.57","18,791,949"
10/22/2024,"314.09","315.74","313.30","314.69","5,889,115"
10/21/2024,"317.13","317.90","314.41","314.89","2,404,056"
10/18/2024,"315.57","317.18","314.23","316.56","2,531,197"
10/17/2024,"313.98","315.05","312.48","314.70","3,095,192"
10/16/2024,"313.32","313.73","310.11","312.92","1,821,486"
10/15/2024,"312.00","315.36","311.01","313.34","3,067,090"
10/14/2024,"305.15","310.42","304.50","309.84","2,376,310"
10/11/2024,"304.42","305.50","302.97","305.04","1,775,710"
10/10/2024,"304.03","305.75","302.93","304.04","1,739,458"
10/09/2024,"302.94","305.01","301.97","303.83","1,854,155"
10/08/2024,"302.64","303.35","300.36","301.90","2,038,348"
10/07/2024,"303.76","305.12","300.00","300.85","2,091,776"
10/04/2024,"303.05","305.89","301.38","303.76","2,432,634"
10/03/2024,"303.50","304.02","301.26","303.45","1,802,561"
10/02/2024,"300.58","304.08","299.58","303.76","2,352,436"
10/01/2024,"304.51","305.23","302.25","302.98","3,036,208"
09/30/2024,"303.75","305.03","302.10","304.51","2,286,978"
09/27/2024,"303.52","306.96","303.52","303.69","3,402,999"
09/26/2024,"301.15","304.29","300.74","303.65","1,971,134"
09/25/2024,"300.33","301.80","298.40","300.47","1,986,241"
09/24/2024,"299.06","301.45","297.70","300.27","2,408,175"
09/23/2024,"299.00","300.22","296.89","299.06","2,312,365"
09/20/2024,"292.94","298.05","292.84","296.83","5,817,302"
09/19/2024,"294.25","295.08","290.90","293.85","2,271,388"
09/18/2024,"293.88","295.10","290.37","292.03","1,788,384"
09/17/2024,"297.00","297.39","292.17","293.75","2,997,493"
09/16/2024,"297.42","300.11","295.04","296.69","2,916,205"
09/13/2024,"294.49","296.74","292.62","296.53","2,205,535"
09/12/2024,"290.17","292.69","288.26","292.35","2,274,712"
09/11/2024,"290.83","291.44","285.83","290.23","2,747,627"
09/10/2024,"292.81","296.23","291.04","291.27","2,497,109"
09/09/2024,"290.03","291.74","287.80","291.29","3,208,635"
09/06/2024,"287.82","292.19","287.57","289.51","3,863,559"
09/05/2024,"289.00","289.55","286.24","287.97","2,412,493"
09/04/2024,"286.55","288.97","285.99","288.03","2,558,502"
09/03/2024,"286.36","288.21","283.71","285.52","2,902,570"
08/30/2024,"287.56","288.88","286.29","288.66","2,528,549"
08/29/2024,"287.78","289.11","284.78","287.86","1,797,229"
08/28/2024,"289.95","290.96","285.26","287.05","2,603,793"
08/27/2024,"289.08","290.30","288.06","289.64","2,897,582"
08/26/2024,"289.25","292.21","287.87","288.68","2,018,540"
08/23/2024,"290.38","290.78","287.13","289.52","2,145,946"
08/22/2024,"289.55","290.50","287.55","289.21","1,746,359"
08/21/2024,"287.15","289.97","286.27","289.71","2,686,435"
08/20/2024,"286.50","290.27","285.21","285.63","3,697,631"
08/19/2024,"282.33","288.32","281.72","287.55","5,268,793"
08/16/2024,"274.75","279.50","274.70","278.49","3,286,217"
08/15/2024,"272.00","275.76","271.85","274.87","2,445,218"
08/14/2024,"269.86","271.51","268.50","271.15","2,242,138"
08/13/2024,"270.31","272.00","267.54","270.31","2,603,592"
08/12/2024,"267.46","269.53","265.33","269.46","3,008,100"
08/09/2024,"271.70","271.70","266.96","267.91","2,664,877"
08/08/2024,"268.93","273.65","268.08","271.19","3,227,234"
08/07/2024,"269.56","273.14","268.58","269.37","3,539,980"
08/06/2024,"269.86","273.20","268.08","270.06","3,369,337"
08/05/2024,"274.04","277.87","267.68","268.45","6,794,876"
08/02/2024,"269.40","276.81","268.80","276.69","9,585,900"
08/01/2024,"266.82","268.77","262.40","268.75","4,935,952"
07/31/2024,"265.42","267.67","263.20","265.40","4,652,053"
07/30/2024,"261.00","267.37","260.31","266.44","4,936,596"
07/29/2024,"253.55","263.93","250.23","261.42","9,380,960"
07/26/2024,"252.90","254.05","250.75","252.00","4,002,852"
07/25/2024,"254.19","256.09","251.10","251.46","3,323,080"
07/24/2024,"246.32","254.33","246.12","253.37","5,983,281"
07/23/2024,"259.68","260.14","253.51","254.05","2,653,141"
07/22/2024,"258.30","259.79","256.40","259.54","2,759,527"
07/19/2024,"260.39","260.44","255.03","257.28","3,470,585"
07/18/2024,"258.03","262.33","257.60","259.52","3,421,839"
07/17/2024,"258.97","262.05","257.86","261.00","3,711,520"
07/16/2024,"251.00","257.31","250.10","257.27","4,172,974"
07/15/2024,"253.64","255.73","251.19","251.53","3,393,612"
07/12/2024,"254.25","256.92","251.81","253.90","4,543,006"
07/11/2024,"251.22","255.65","249.87","254.80","5,548,256"
07/10/2024,"247.00","250.56","245.90","250.49","4,092,739"
07/09/2024,"247.23","247.40","243.53","245.82","4,930,592"
07/08/2024,"251.76","252.58","247.06","247.85","3,163,853"
07/05/2024,"251.00","251.42","248.81","251.09","2,814,312"
07/03/2024,"248.50","250.98","248.18","250.00","2,026,070"
07/02/2024,"249.68","251.03","247.41","247.79","3,944,881"
07/01/2024,"254.83","255.34","249.72","249.99","3,817,576"
